species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,date,penguin_id
Adelie,Torgersen,35.5,17.5,190,3700,female,08/11/2008,N36A1
Adelie,Torgersen,42.8,18.5,195,4250,male,08/11/2008,N36A2
Adelie,Torgersen,40.9,16.8,191,3700,female,06/11/2008,N37A1
Adelie,Torgersen,37.2,19.4,184,3900,male,06/11/2008,N37A2
Adelie,Torgersen,36.2,16.1,187,3550,female,09/11/2008,N38A1
Adelie,Torgersen,42.1,19.1,195,4000,male,09/11/2008,N38A2
Adelie,Torgersen,34.6,17.2,189,3200,female,02/11/2008,N39A1
Adelie,Torgersen,42.9,17.6,196,4700,male,02/11/2008,N39A2
Adelie,Torgersen,36.7,18.8,187,3800,female,07/11/2008,N40A1
Adelie,Torgersen,35.1,19.4,193,4200,male,07/11/2008,N40A2
Adelie,Dream,37.3,17.8,191,3350,female,17/11/2008,N41A1
Adelie,Dream,41.3,20.3,194,3550,male,17/11/2008,N41A2
Adelie,Dream,36.3,19.5,190,3800,male,08/11/2008,N42A1
Adelie,Dream,36.9,18.6,189,3500,female,08/11/2008,N42A2
Adelie,Dream,38.3,19.2,189,3950,male,08/11/2008,N44A1
Adelie,Dream,38.9,18.8,190,3600,female,08/11/2008,N44A2
Adelie,Dream,35.7,18,202,3550,female,14/11/2008,N45A1
Adelie,Dream,41.1,18.1,205,4300,male,14/11/2008,N45A2
Adelie,Dream,34,17.1,185,3400,female,05/11/2008,N46A1
Adelie,Dream,39.6,18.1,186,4450,male,05/11/2008,N46A2
Adelie,Dream,36.2,17.3,187,3300,female,17/11/2008,N48A1
Adelie,Dream,40.8,18.9,208,4300,male,17/11/2008,N48A2
Adelie,Dream,38.1,18.6,190,3700,female,08/11/2008,N49A1
Adelie,Dream,40.3,18.5,196,4350,male,08/11/2008,N49A2
Adelie,Dream,33.1,16.1,178,2900,female,10/11/2008,N50A1
Adelie,Dream,43.2,18.5,192,4100,male,10/11/2008,N50A2
Adelie,Biscoe,35,17.9,192,3725,female,09/11/2009,N47A1
Adelie,Biscoe,41,20,203,4725,male,09/11/2009,N47A2
Adelie,Biscoe,37.7,16,183,3075,female,15/11/2009,N49A1
Adelie,Biscoe,37.8,20,190,4250,male,15/11/2009,N49A2
Adelie,Biscoe,37.9,18.6,193,2925,female,15/11/2009,N51A1
Adelie,Biscoe,39.7,18.9,184,3550,male,15/11/2009,N51A2
Adelie,Biscoe,38.6,17.2,199,3750,female,15/11/2009,N53A1
Adelie,Biscoe,38.2,20,190,3900,male,15/11/2009,N53A2
Adelie,Biscoe,38.1,17,181,3175,female,20/11/2009,N55A1
Adelie,Biscoe,43.2,19,197,4775,male,20/11/2009,N55A2
Adelie,Biscoe,38.1,16.5,198,3825,female,12/11/2009,N58A1
Adelie,Biscoe,45.6,20.3,191,4600,male,12/11/2009,N58A2
Adelie,Biscoe,39.7,17.7,193,3200,female,15/11/2009,N60A1
Adelie,Biscoe,42.2,19.5,197,4275,male,15/11/2009,N60A2
Adelie,Biscoe,39.6,20.7,191,3900,female,17/11/2009,N61A1
Adelie,Biscoe,42.7,18.3,196,4075,male,17/11/2009,N61A2
Adelie,Torgersen,38.6,17,188,2900,female,18/11/2009,N63A1
Adelie,Torgersen,37.3,20.5,199,3775,male,18/11/2009,N63A2
Adelie,Torgersen,35.7,17,189,3350,female,22/11/2009,N64A1
Adelie,Torgersen,41.1,18.6,189,3325,male,22/11/2009,N64A2
Adelie,Torgersen,36.2,17.2,187,3150,female,17/11/2009,N66A1
Adelie,Torgersen,37.7,19.8,198,3500,male,17/11/2009,N66A2
Adelie,Torgersen,40.2,17,176,3450,female,16/11/2009,N67A1
Adelie,Torgersen,41.4,18.5,202,3875,male,16/11/2009,N67A2
Adelie,Torgersen,35.2,15.9,186,3050,female,18/11/2009,N69A1
Adelie,Torgersen,40.6,19,199,4000,male,18/11/2009,N69A2
Adelie,Torgersen,38.8,17.6,191,3275,female,21/11/2009,N71A1
Adelie,Torgersen,41.5,18.3,195,4300,male,21/11/2009,N71A2
Adelie,Torgersen,39,17.1,191,3050,female,18/11/2009,N72A1
Adelie,Torgersen,44.1,18,210,4000,male,18/11/2009,N72A2
Adelie,Torgersen,38.5,17.9,190,3325,female,23/11/2009,N73A1
Adelie,Torgersen,43.1,19.2,197,3500,male,23/11/2009,N73A2
Adelie,Dream,36.8,18.5,193,3500,female,10/11/2009,N76A1
Adelie,Dream,37.5,18.5,199,4475,male,10/11/2009,N76A2
Adelie,Dream,38.1,17.6,187,3425,female,13/11/2009,N77A1
Adelie,Dream,41.1,17.5,190,3900,male,13/11/2009,N77A2
Adelie,Dream,35.6,17.5,191,3175,female,16/11/2009,N78A1
Adelie,Dream,40.2,20.1,200,3975,male,16/11/2009,N78A2
Adelie,Dream,37,16.5,185,3400,female,16/11/2009,N79A1
Adelie,Dream,39.7,17.9,193,4250,male,16/11/2009,N79A2
Adelie,Dream,40.2,17.1,193,3400,female,14/11/2009,N80A1
Adelie,Dream,40.6,17.2,187,3475,male,14/11/2009,N80A2
Adelie,Dream,32.1,15.5,188,3050,female,16/11/2009,N81A1
Adelie,Dream,40.7,17,190,3725,male,16/11/2009,N81A2
Adelie,Dream,37.3,16.8,192,3000,female,16/11/2009,N82A1
Adelie,Dream,39,18.7,185,3650,male,16/11/2009,N82A2
Adelie,Dream,39.2,18.6,190,4250,male,13/11/2009,N83A1
Adelie,Dream,36.6,18.4,184,3475,female,13/11/2009,N83A2
Adelie,Dream,36,17.8,195,3450,female,17/11/2009,N84A1
Adelie,Dream,37.8,18.1,193,3750,male,17/11/2009,N84A2
Adelie,Dream,36,17.1,187,3700,female,17/11/2009,N85A1
Adelie,Dream,41.5,18.5,201,4000,male,17/11/2009,N85A2
Gentoo,Biscoe,46.1,13.2,211,4500,female,27/11/2007,N31A1
Gentoo,Biscoe,50,16.3,230,5700,male,27/11/2007,N31A2
Gentoo,Biscoe,48.7,14.1,210,4450,female,27/11/2007,N32A1
Gentoo,Biscoe,50,15.2,218,5700,male,27/11/2007,N32A2
Gentoo,Biscoe,47.6,14.5,215,5400,male,18/11/2007,N33A1
Gentoo,Biscoe,46.5,13.5,210,4550,female,18/11/2007,N33A2
Gentoo,Biscoe,45.4,14.6,211,4800,female,27/11/2007,N34A1
Gentoo,Biscoe,46.7,15.3,219,5200,male,27/11/2007,N34A2
Gentoo,Biscoe,43.3,13.4,209,4400,female,27/11/2007,N35A1
Gentoo,Biscoe,46.8,15.4,215,5150,male,27/11/2007,N35A2
Gentoo,Biscoe,40.9,13.7,214,4650,female,27/11/2007,N36A1
Gentoo,Biscoe,49,16.1,216,5550,male,27/11/2007,N36A2
Gentoo,Biscoe,45.5,13.7,214,4650,female,29/11/2007,N37A1
Gentoo,Biscoe,48.4,14.6,213,5850,male,29/11/2007,N37A2
Gentoo,Biscoe,45.8,14.6,210,4200,female,03/12/2007,N38A1
Gentoo,Biscoe,49.3,15.7,217,5850,male,03/12/2007,N38A2
Gentoo,Biscoe,42,13.5,210,4150,female,27/11/2007,N39A1
Gentoo,Biscoe,49.2,15.2,221,6300,male,27/11/2007,N39A2
Gentoo,Biscoe,46.2,14.5,209,4800,female,27/11/2007,N40A1
Gentoo,Biscoe,48.7,15.1,222,5350,male,27/11/2007,N40A2
Gentoo,Biscoe,50.2,14.3,218,5700,male,27/11/2007,N41A1
Gentoo,Biscoe,45.1,14.5,215,5000,female,27/11/2007,N41A2
Gentoo,Biscoe,46.5,14.5,213,4400,female,27/11/2007,N42A1
Gentoo,Biscoe,46.3,15.8,215,5050,male,27/11/2007,N42A2
Gentoo,Biscoe,42.9,13.1,215,5000,female,29/11/2007,N44A1
Gentoo,Biscoe,46.1,15.1,215,5100,male,29/11/2007,N44A2
Gentoo,Biscoe,44.5,14.3,216,4100,NA,29/11/2007,N46A1
Gentoo,Biscoe,47.8,15,215,5650,male,29/11/2007,N46A2
Gentoo,Biscoe,48.2,14.3,210,4600,female,29/11/2007,N47A1
Gentoo,Biscoe,50,15.3,220,5550,male,29/11/2007,N47A2
Gentoo,Biscoe,47.3,15.3,222,5250,male,29/11/2007,N50A1
Gentoo,Biscoe,42.8,14.2,209,4700,female,29/11/2007,N50A2
Gentoo,Biscoe,45.1,14.5,207,5050,female,03/12/2007,N56A1
Gentoo,Biscoe,59.6,17,230,6050,male,03/12/2007,N56A2
Gentoo,Biscoe,49.1,14.8,220,5150,female,13/11/2008,N2A1
Gentoo,Biscoe,48.4,16.3,220,5400,male,13/11/2008,N2A2
Gentoo,Biscoe,42.6,13.7,213,4950,female,02/11/2008,N4A1
Gentoo,Biscoe,44.4,17.3,219,5250,male,02/11/2008,N4A2
Gentoo,Biscoe,44,13.6,208,4350,female,09/11/2008,N5A1
Gentoo,Biscoe,48.7,15.7,208,5350,male,09/11/2008,N5A2
Gentoo,Biscoe,42.7,13.7,208,3950,female,04/11/2008,N6A1
Gentoo,Biscoe,49.6,16,225,5700,male,04/11/2008,N6A2
Gentoo,Biscoe,45.3,13.7,210,4300,female,04/11/2008,N7A1
Gentoo,Biscoe,49.6,15,216,4750,male,04/11/2008,N7A2
Gentoo,Biscoe,50.5,15.9,222,5550,male,03/11/2008,N8A1
Gentoo,Biscoe,43.6,13.9,217,4900,female,03/11/2008,N8A2
Gentoo,Biscoe,45.5,13.9,210,4200,female,09/11/2008,N11A1
Gentoo,Biscoe,50.5,15.9,225,5400,male,09/11/2008,N11A2
Gentoo,Biscoe,44.9,13.3,213,5100,female,02/11/2008,N12A1
Gentoo,Biscoe,45.2,15.8,215,5300,male,02/11/2008,N12A2
Gentoo,Biscoe,46.6,14.2,210,4850,female,04/11/2008,N13A1
Gentoo,Biscoe,48.5,14.1,220,5300,male,04/11/2008,N13A2
Gentoo,Biscoe,45.1,14.4,210,4400,female,04/11/2008,N14A1
Gentoo,Biscoe,50.1,15,225,5000,male,04/11/2008,N14A2
Gentoo,Biscoe,46.5,14.4,217,4900,female,04/11/2008,N15A1
Gentoo,Biscoe,45,15.4,220,5050,male,04/11/2008,N15A2
Gentoo,Biscoe,43.8,13.9,208,4300,female,03/11/2008,N16A1
Gentoo,Biscoe,45.5,15,220,5000,male,03/11/2008,N16A2
Gentoo,Biscoe,43.2,14.5,208,4450,female,06/11/2008,N17A1
Gentoo,Biscoe,50.4,15.3,224,5550,male,06/11/2008,N17A2
Gentoo,Biscoe,45.3,13.8,208,4200,female,03/11/2008,N18A1
Gentoo,Biscoe,46.2,14.9,221,5300,male,03/11/2008,N18A2
Gentoo,Biscoe,45.7,13.9,214,4400,female,13/11/2008,N19A1
Gentoo,Biscoe,54.3,15.7,231,5650,male,13/11/2008,N19A2
Gentoo,Biscoe,45.8,14.2,219,4700,female,04/11/2008,N20A1
Gentoo,Biscoe,49.8,16.8,230,5700,male,04/11/2008,N20A2
Gentoo,Biscoe,46.2,14.4,214,4650,NA,09/11/2008,N51A1
Gentoo,Biscoe,49.5,16.2,229,5800,male,09/11/2008,N51A2
Gentoo,Biscoe,43.5,14.2,220,4700,female,13/11/2008,N53A1
Gentoo,Biscoe,50.7,15,223,5550,male,13/11/2008,N53A2
Gentoo,Biscoe,47.7,15,216,4750,female,03/11/2008,N54A1
Gentoo,Biscoe,46.4,15.6,221,5000,male,03/11/2008,N54A2
Gentoo,Biscoe,48.2,15.6,221,5100,male,09/11/2008,N55A1
Gentoo,Biscoe,46.5,14.8,217,5200,female,09/11/2008,N55A2
Gentoo,Biscoe,46.4,15,216,4700,female,06/11/2008,N56A1
Gentoo,Biscoe,48.6,16,230,5800,male,06/11/2008,N56A2
Gentoo,Biscoe,47.5,14.2,209,4600,female,06/11/2008,N58A1
Gentoo,Biscoe,51.1,16.3,220,6000,male,06/11/2008,N58A2
Gentoo,Biscoe,45.2,13.8,215,4750,female,09/11/2008,N60A1
Gentoo,Biscoe,45.2,16.4,223,5950,male,09/11/2008,N60A2
Gentoo,Biscoe,49.1,14.5,212,4625,female,18/11/2009,N1A1
Gentoo,Biscoe,52.5,15.6,221,5450,male,18/11/2009,N1A2
Gentoo,Biscoe,47.4,14.6,212,4725,female,15/11/2009,N6A1
Gentoo,Biscoe,50,15.9,224,5350,male,15/11/2009,N6A2
Gentoo,Biscoe,44.9,13.8,212,4750,female,22/11/2009,N8A1
Gentoo,Biscoe,50.8,17.3,228,5600,male,22/11/2009,N8A2
Gentoo,Biscoe,43.4,14.4,218,4600,female,20/11/2009,N13A1
Gentoo,Biscoe,51.3,14.2,218,5300,male,20/11/2009,N13A2
Gentoo,Biscoe,47.5,14,212,4875,female,25/11/2009,N14A1
Gentoo,Biscoe,52.1,17,230,5550,male,25/11/2009,N14A2
Gentoo,Biscoe,47.5,15,218,4950,female,25/11/2009,N15A1
Gentoo,Biscoe,52.2,17.1,228,5400,male,25/11/2009,N15A2
Gentoo,Biscoe,45.5,14.5,212,4750,female,01/12/2009,N18A1
Gentoo,Biscoe,49.5,16.1,224,5650,male,01/12/2009,N18A2
Gentoo,Biscoe,44.5,14.7,214,4850,female,27/11/2009,N19A1
Gentoo,Biscoe,50.8,15.7,226,5200,male,27/11/2009,N19A2
Gentoo,Biscoe,49.4,15.8,216,4925,male,18/11/2009,N20A1
Gentoo,Biscoe,46.9,14.6,222,4875,female,18/11/2009,N20A2
Gentoo,Biscoe,48.4,14.4,203,4625,female,18/11/2009,N21A1
Gentoo,Biscoe,51.1,16.5,225,5250,male,18/11/2009,N21A2
Gentoo,Biscoe,48.5,15,219,4850,female,22/11/2009,N22A1
Gentoo,Biscoe,55.9,17,228,5600,male,22/11/2009,N22A2
Gentoo,Biscoe,47.2,15.5,215,4975,female,18/11/2009,N23A1
Gentoo,Biscoe,49.1,15,228,5500,male,18/11/2009,N23A2
Gentoo,Biscoe,47.3,13.8,216,4725,NA,01/12/2009,N24A1
Gentoo,Biscoe,46.8,16.1,215,5500,male,01/12/2009,N24A2
Gentoo,Biscoe,41.7,14.7,210,4700,female,10/11/2009,N28A1
Gentoo,Biscoe,53.4,15.8,219,5500,male,10/11/2009,N28A2
Gentoo,Biscoe,43.3,14,208,4575,female,09/11/2009,N29A1
Gentoo,Biscoe,48.1,15.1,209,5500,male,09/11/2009,N29A2
Gentoo,Biscoe,50.5,15.2,216,5000,female,20/11/2009,N32A1
Gentoo,Biscoe,49.8,15.9,229,5950,male,20/11/2009,N32A2
Gentoo,Biscoe,43.5,15.2,213,4650,female,27/11/2009,N34A1
Gentoo,Biscoe,51.5,16.3,230,5500,male,27/11/2009,N34A2
Gentoo,Biscoe,46.2,14.1,217,4375,female,25/11/2009,N35A1
Gentoo,Biscoe,55.1,16,230,5850,male,25/11/2009,N35A2
Gentoo,Biscoe,44.5,15.7,217,4875,NA,01/12/2009,N36A1
Gentoo,Biscoe,48.8,16.2,222,6000,male,01/12/2009,N36A2
Gentoo,Biscoe,47.2,13.7,214,4925,female,01/12/2009,N38A1
Gentoo,Biscoe,NA,NA,NA,NA,NA,01/12/2009,N38A2
Gentoo,Biscoe,46.8,14.3,215,4850,female,22/11/2009,N39A1
Gentoo,Biscoe,50.4,15.7,222,5750,male,22/11/2009,N39A2
Gentoo,Biscoe,45.2,14.8,212,5200,female,22/11/2009,N43A1
Gentoo,Biscoe,49.9,16.1,213,5400,male,22/11/2009,N43A2
Chinstrap,Dream,46.5,17.9,192,3500,female,19/11/2007,N61A1
Chinstrap,Dream,50,19.5,196,3900,male,19/11/2007,N61A2
Chinstrap,Dream,51.3,19.2,193,3650,male,26/11/2007,N62A1
Chinstrap,Dream,45.4,18.7,188,3525,female,26/11/2007,N62A2
Chinstrap,Dream,52.7,19.8,197,3725,male,21/11/2007,N64A1
Chinstrap,Dream,45.2,17.8,198,3950,female,21/11/2007,N64A2
Chinstrap,Dream,46.1,18.2,178,3250,female,28/11/2007,N66A1
Chinstrap,Dream,51.3,18.2,197,3750,male,28/11/2007,N66A2
Chinstrap,Dream,46,18.9,195,4150,female,21/11/2007,N67A1
Chinstrap,Dream,51.3,19.9,198,3700,male,21/11/2007,N67A2
Chinstrap,Dream,46.6,17.8,193,3800,female,28/11/2007,N68A1
Chinstrap,Dream,51.7,20.3,194,3775,male,28/11/2007,N68A2
Chinstrap,Dream,47,17.3,185,3700,female,26/11/2007,N69A1
Chinstrap,Dream,52,18.1,201,4050,male,26/11/2007,N69A2
Chinstrap,Dream,45.9,17.1,190,3575,female,22/11/2007,N70A1
Chinstrap,Dream,50.5,19.6,201,4050,male,22/11/2007,N70A2
Chinstrap,Dream,50.3,20,197,3300,male,30/11/2007,N71A1
Chinstrap,Dream,58,17.8,181,3700,female,30/11/2007,N71A2
Chinstrap,Dream,46.4,18.6,190,3450,female,30/11/2007,N72A1
Chinstrap,Dream,49.2,18.2,195,4400,male,30/11/2007,N72A2
Chinstrap,Dream,42.4,17.3,181,3600,female,03/12/2007,N73A1
Chinstrap,Dream,48.5,17.5,191,3400,male,03/12/2007,N73A2
Chinstrap,Dream,43.2,16.6,187,2900,female,28/11/2007,N85A1
Chinstrap,Dream,50.6,19.4,193,3800,male,28/11/2007,N85A2
Chinstrap,Dream,46.7,17.9,195,3300,female,28/11/2007,N89A1
Chinstrap,Dream,52,19,197,4150,male,28/11/2007,N89A2
Chinstrap,Dream,50.5,18.4,200,3400,female,25/11/2008,N61A1
Chinstrap,Dream,49.5,19,200,3800,male,25/11/2008,N61A2
Chinstrap,Dream,46.4,17.8,191,3700,female,14/11/2008,N62A1
Chinstrap,Dream,52.8,20,205,4550,male,14/11/2008,N62A2
Chinstrap,Dream,40.9,16.6,187,3200,female,24/11/2008,N63A1
Chinstrap,Dream,54.2,20.8,201,4300,male,24/11/2008,N63A2
Chinstrap,Dream,42.5,16.7,187,3350,female,24/11/2008,N65A1
Chinstrap,Dream,51,18.8,203,4100,male,24/11/2008,N65A2
Chinstrap,Dream,49.7,18.6,195,3600,male,25/11/2008,N67A1
Chinstrap,Dream,47.5,16.8,199,3900,female,25/11/2008,N67A2
Chinstrap,Dream,47.6,18.3,195,3850,female,14/11/2008,N69A1
Chinstrap,Dream,52,20.7,210,4800,male,14/11/2008,N69A2
Chinstrap,Dream,46.9,16.6,192,2700,female,24/11/2008,N72A1
Chinstrap,Dream,53.5,19.9,205,4500,male,24/11/2008,N72A2
Chinstrap,Dream,49,19.5,210,3950,male,24/11/2008,N74A1
Chinstrap,Dream,46.2,17.5,187,3650,female,24/11/2008,N74A2
Chinstrap,Dream,50.9,19.1,196,3550,male,14/11/2008,N75A1
Chinstrap,Dream,45.5,17,196,3500,female,14/11/2008,N75A2
Chinstrap,Dream,50.9,17.9,196,3675,female,17/11/2009,N86A1
Chinstrap,Dream,50.8,18.5,201,4450,male,17/11/2009,N86A2
Chinstrap,Dream,50.1,17.9,190,3400,female,27/11/2009,N87A1
Chinstrap,Dream,49,19.6,212,4300,male,27/11/2009,N87A2
Chinstrap,Dream,51.5,18.7,187,3250,male,23/11/2009,N88A1
Chinstrap,Dream,49.8,17.3,198,3675,female,23/11/2009,N88A2
Chinstrap,Dream,48.1,16.4,199,3325,female,21/11/2009,N90A1
Chinstrap,Dream,51.4,19,201,3950,male,21/11/2009,N90A2
Chinstrap,Dream,45.7,17.3,193,3600,female,23/11/2009,N92A1
Chinstrap,Dream,50.7,19.7,203,4050,male,23/11/2009,N92A2
Chinstrap,Dream,42.5,17.3,187,3350,female,27/11/2009,N93A1
Chinstrap,Dream,52.2,18.8,197,3450,male,27/11/2009,N93A2
Chinstrap,Dream,45.2,16.6,191,3250,female,21/11/2009,N94A1
Chinstrap,Dream,49.3,19.9,203,4050,male,21/11/2009,N94A2
Chinstrap,Dream,50.2,18.8,202,3800,male,21/11/2009,N95A1
Chinstrap,Dream,45.6,19.4,194,3525,female,21/11/2009,N95A2
Chinstrap,Dream,51.9,19.5,206,3950,male,27/11/2009,N96A1
Chinstrap,Dream,46.8,16.5,189,3650,female,27/11/2009,N96A2
Chinstrap,Dream,45.7,17,195,3650,female,19/11/2009,N98A1
Chinstrap,Dream,55.8,19.8,207,4000,male,19/11/2009,N98A2
Chinstrap,Dream,43.5,18.1,202,3400,female,21/11/2009,N99A1
Chinstrap,Dream,49.6,18.2,193,3775,male,21/11/2009,N99A2
Chinstrap,Dream,50.8,19,210,4100,male,21/11/2009,N100A1
Chinstrap,Dream,50.2,18.7,198,3775,female,21/11/2009,N100A2
